Scintillator ,Mechanism,lightyield,dop_conc,host_band gap,av_el_diel_cons,av_ion_diel_cons,reference,av_ion_pot,ion_pot(+),ion_pot(-),Density (g/cc),av_electroneg,av.ele(+),av.ele(-),av_elec_aff,elec_aff(+),elec_aff(-),emp_rad(+),emp_rad(-),mendeleev(+),mendeleev(-)
AgGd(PO3)4:Ce,Ce3+,8000,15,0.356,,,"(S. Derenzo et al., 2011)",12.1665,9.2635,13.6181,3.98,2.953,1.559,3.123,1.2275,0.7603,1.4611,1.2346,0.6,76.4583,101
Ba2B5O9Cl:Eu,Eu2+,11000,2,5.242,,,"(S. Derenzo et al., 2011)",11.0272,7.4188,13.553,3.61,2.713,1.713,3.412,1.0852,0.2409,1.6763,1.2197,0.64,65.4514,100.8
Ba2Ca(BO3)2:Ce,Ce3+,5100,7,4.081,3.479,8.8182,"(Lin et al., 2007)",10.4442,6.6357,13.6181,4.54,2.497,1.365,3.44,0.8821,0.1874,1.4611,1.5516,0.6,43.704,101
Ba2MgSi2O7:Eu,Eu2+,10000,2,4.47,2.94,5.3133,"(S. Derenzo et al., 2011)",10.8098,6.8783,13.6181,4.1,2.582,1.381,3.44,1.0746,0.5334,1.4611,1.5976,0.6,54.232,101
Ba2P2O7:Eu,Eu2+,2500,3,5.148,,,"(S. Derenzo et al., 2011)",11.5228,7.8561,13.6181,3.958,2.751,0.899,3.162,1.0917,0.4452,1.4611,1.5705,0.6,52.06,101
Ba2Si3O8:Eu,Eu2+,35000,0.2,4.512,,,"(S. Derenzo et al., 2011)",11.0634,6.976,13.6181,3.802,2.693,1.499,3.44,1.242,0.8915,1.4611,1.5198,0.6,56.6032,101
Ba2SiO4:Eu,Eu2+,40000,0.2,4.632,,,"(S. Derenzo et al., 2011)",10.4356,6.1923,13.6181,5.23,2.493,1.231,3.44,1.0747,0.5595,1.4611,1.7996,0.6,37.672,101
Ba2YCl7:Ce,Ce3+,15000,2,4.711,,,"(S. Derenzo et al., 2011)",10.7401,5.5424,12.9676,3.491,2.512,0.999,3.16,2.5895,0.2021,3.6127,2.0293,1,17.7133,99
Ba2ZnSi2O7:Eu,Eu2+,16000,1,4.003,,,"(S. Derenzo et al., 2011)",10.9547,7.226,13.6181,4.548,2.6097,1.447,3.44,1.0579,0.4935,1.4611,1.5688,0.6,54.6693,101
Ba3(PO4)2:Eu,Eu2+,27000,1.5,5.263,,,"(S. Derenzo et al., 2011)",11.198,7.3258,13.6181,5.006,2.6603,0.895,3.19,1.0452,0.3837,1.4611,1.6873,0.6,44.436,101
Ba3B(PO4)3:Eu,Eu2+,18000,2,5.011,,,"(S. Derenzo et al., 2011)",11.5178,7.9172,13.6181,3.989,2.767,1.182,3.19,1.0782,0.4217,1.4611,1.4689,0.6,56.8914,101
Ba3Gd(BO3)3:Ce,Ce3+,370,4,,,,"(Han et al., 2007)",10.5761,6.6649,13.6181,5.3,2.559,1.427,3.44,0.9157,0.2144,1.4611,1.5377,0.6,46.7429,101
Ba3P4O13:Eu,Eu2+,25000,2.5,5.123,,,"(S. Derenzo et al., 2011)",11.7325,8.2309,13.6181,3.894,2.809,0.898,3.146,1.1192,0.4868,1.4611,1.4896,0.6,57.4714,101
BaBr1.7I0.3:Eu,Eu2+,112000,5,,,,"(Gundiah et al., 2011)",9.4845,5.2346,11.6094,,2.245,0.906,2.915,2.2597,0.1432,3.3179,2.135,1.1875,14.2,97.85
BaBr2,SA,8700,0,4.373,3.56,6.26,"(Selling et al., 2007)",9.6131,5.2117,11.8138,4.72,2.27,0.89,2.96,2.2906,0.1446,3.3636,2.15,1.15,14,98
BaBr2:Eu,Eu2+,58000,5,4.373,3.56,6.26,"(Yan et al., 2014)",9.6207,5.2346,11.8138,4.85,2.277,0.911,2.96,2.2901,0.1432,3.3636,2.135,1.15,14.2,98
BaBrCl:Eu,Eu2+,59500,5,4.484,3.14,4.3,"(Gundiah et al., 2013)
",10.0053,5.2346,12.3907,4.277,2.344,0.911,3.06,2.3732,0.1432,3.4882,2.135,1.075,14.2,98.5
BaBrI:Eu,Eu2+,97000,8,3.537,4.02,10.98,"(Bizarri et al., 2011a)",9.1711,5.2484,11.1325,4.889,2.177,0.911,2.81,2.1883,0.1423,3.2114,2.126,1.275,14.32,97.5
BaBrI:Eu,Eu2+,89000,5,3.537,4.02,10.98,"(Gundiah et al., 2011)
",9.1666,5.2346,11.1325,4.889,,,,2.1886,0.1432,0.1432,2.135,1.275,14.2,97.5
BaCl2,SA,4500,,5.612,2.87,4.54,"(Selling et al., 2007)",10.3823,5.2117,12.9676,3.394,2.403,0.89,3.16,2.4567,0.1446,3.6127,2.15,1,14,99
